"App name","Usage time","Access count"
"YouTube","56:19:18","399"
"Dokkan","21:48:38","128"
"Messages","19:06:10","573"
"Instagram","10:15:23","118"
"Maps","9:57:58","248"
"Snapchat","9:42:49","313"
"Opera","8:20:04","76"
"Crunchyroll","4:33:29","62"
"Call","4:28:22","160"
"Shopper","4:14:47","143"
"Bloons TD 6","3:45:32","38"
"Android Auto","3:28:53","214"
"Google","3:08:41","241"
"Chrome","2:54:09","173"
"Spotify","2:38:36","76"
"Amazon Shopping","2:35:50","107"
"AliExpress","2:04:03","27"
"Gmail","1:27:52","269"
"Clock","1:23:07","172"
"JW Library","1:12:48","23"
"Netflix","1:09:27","3"
"Gallery","0:37:25","77"
"Ampere","0:34:47","18"
"Camera","0:30:11","84"
"Twitter","0:22:03","11"
"Phone","0:18:52","158"
"Drive","0:17:00","22"
"Sam's Club","0:16:34","28"
"Weather","0:15:53","26"
"Wells Fargo","0:15:23","32"
"WhatsApp","0:14:37","18"
"Woot","0:13:26","6"
"Keep Notes","0:11:18","19"
"Capital One","0:10:03","17"
"Taco Bell","0:10:03","8"
"Google Play Store","0:08:17","21"
"Samsung Notes","0:08:15","31"
"App Usage","0:07:09","27"
"Device care","0:07:07","9"
"Samsung Internet","0:06:51","10"
"Discover","0:06:25","18"
"Galaxy Watch PlugIn","0:06:24","5"
"Wireless emergency alerts","0:06:11","3"
"Golf Rival","0:06:01","2"
"Calculator","0:05:45","9"
"GasBuddy","0:05:17","6"
"Samsung Members","0:05:06","1"
"TD Bank (US)","0:05:01","11"
"PS App","0:04:55","3"
"Prime Video","0:03:58","4"
"Venmo","0:03:38","6"
"Home","0:03:36","18"
"VIZIO Mobile","0:03:32","7"
"Life360","0:03:24","11"
"System UI","0:03:17","30"
"Files","0:03:04","28"
"OneDrive","0:02:47","7"
"Tile","0:02:43","6"
"Photos","0:02:43","5"
"Finder","0:02:40","45"
"Cash App","0:01:56","1"
"Reminder","0:01:46","13"
"Calendar","0:01:28","10"
"Permission controller","0:01:28","90"
"Google Opinion Rewards","0:01:18","5"
"Contacts","0:01:14","5"
"GameStop","0:01:11","2"
"Galaxy Wearable","0:01:11","3"
"Instacart","0:01:10","3"
"Samsung Health","0:01:09","1"
"ResidentPortal","0:00:58","2"
"Contacts","0:00:52","5"
"Translate","0:00:48","4"
"LinkedIn","0:00:47","2"
"myAT&T","0:00:47","1"
"Call settings","0:00:39","5"
"soundcore","0:00:33","3"
"Samsung Pass","0:00:22","2"
"Digital Wellbeing","0:00:21","1"
"SmartThings","0:00:17","4"
"Govee Home","0:00:15","3"
"My Files","0:00:13","5"
"Apps","0:00:12","4"
"Photo Editor","0:00:11","1"
"Authentication Framework","0:00:10","6"
"Talquin","0:00:09","1"
"Software Update","0:00:09","6"
"Package installer","0:00:06","4"
"Settings Suggestions","0:00:05","1"
"One Finger Death Punch","0:00:03","1"
"Docs","0:00:02","1"
"Microsoft 365 (Office)","0:00:01","1"
"Autofill with Samsung Pass","0:00:01","1"
"Companion Device Manager","0:00:01","1"
"Smart suggestions","0:00:00","10"
"NFC","0:00:00","4"
"Data Restore Tool","0:00:00","1"
""
"Date","Usage time"
"4/16/23","4:38:31"
"4/15/23","2:41:08"
"4/14/23","8:31:31"
"4/13/23","10:38:29"
"4/12/23","11:17:01"
"4/11/23","7:25:08"
"4/10/23","10:07:53"
"4/9/23","4:31:58"
"4/8/23","4:48:48"
"4/7/23","11:22:51"
"4/6/23","14:00:16"
"4/5/23","7:24:52"
"4/4/23","3:42:02"
"4/3/23","8:37:36"
"4/2/23","4:34:49"
"4/1/23","6:19:48"
"3/31/23","7:06:34"
"3/30/23","10:18:06"
"3/29/23","12:47:04"
"3/28/23","6:12:12"
"3/27/23","12:52:30"
"3/26/23","11:30:22"
""
"Usage history, April 16, 2023 - March 26, 2023"
"Created by App Usage on Wednesday, April 26, 2023, 7:33 AM"
