App name,Date,Time,Duration_Seconds
Instagram,4/16/23,0.99,434
Messages,4/16/23,0.98,861
Screen on (unlocked),4/16/23,0.98,0
Screen off,4/16/23,0.98,0
Screen off (locked),4/16/23,0.98,22
Messages,4/16/23,0.98,80
Instagram,4/16/23,0.98,746
Screen on (unlocked),4/16/23,0.97,2
Screen off,4/16/23,0.97,0
Screen off (locked),4/16/23,0.97,123
Messages,4/16/23,0.96,1003
Screen on (unlocked),4/16/23,0.96,0
Screen off,4/16/23,0.96,0
Screen off (locked),4/16/23,0.96,93
Screen on (unlocked),4/16/23,0.96,0
Screen off,4/16/23,0.96,0
Screen off (locked),4/16/23,0.96,82
Screen on (unlocked),4/16/23,0.96,0
Screen off,4/16/23,0.96,0
Screen off (locked),4/16/23,0.96,211
Messages,4/16/23,0.96,21
Snapchat,4/16/23,0.96,71
Messages,4/16/23,0.94,1050
Screen on (unlocked),4/16/23,0.94,0
Screen off,4/16/23,0.94,0
Screen off (locked),4/16/23,0.94,198
Messages,4/16/23,0.94,296
Screen on (unlocked),4/16/23,0.94,0
Screen off,4/16/23,0.94,0
Screen off (locked),4/16/23,0.94,30
Screen on (locked),4/16/23,0.94,7
Screen off (locked),4/16/23,0.94,78
Screen on (unlocked),4/16/23,0.94,0
Screen off,4/16/23,0.94,0
Screen off (locked),4/16/23,0.93,70
Screen on (unlocked),4/16/23,0.93,0
Screen off,4/16/23,0.93,0
Screen off (locked),4/16/23,0.93,130
Phone,4/16/23,0.93,1
Call,4/16/23,0.93,54
Phone,4/16/23,0.93,2
Instagram,4/16/23,0.93,71
Screen on (unlocked),4/16/23,0.93,0
Screen off,4/16/23,0.93,0
Screen off (locked),4/16/23,0.93,168
Instagram,4/16/23,0.92,449
Gmail,4/16/23,0.92,4
Permission controller,4/16/23,0.92,1
Gmail,4/16/23,0.92,1
Screen on (unlocked),4/16/23,0.92,0
Screen off,4/16/23,0.92,0
Screen off (locked),4/16/23,0.92,100
Messages,4/16/23,0.92,116
Screen on (unlocked),4/16/23,0.92,0
Screen off,4/16/23,0.92,0
Screen off (locked),4/16/23,0.92,431
Screen on (locked),4/16/23,0.92,6
Screen off (locked),4/16/23,0.9,1425
Samsung Notes,4/16/23,0.9,27
Screen on (locked),4/16/23,0.9,0
Screen off (locked),4/16/23,0.9,33
Samsung Notes,4/16/23,0.9,13
Screen on (locked),4/16/23,0.9,0
Screen off (locked),4/16/23,0.88,1854
Screen on (locked),4/16/23,0.88,7
Screen off (locked),4/16/23,0.87,807
Messages,4/16/23,0.87,144
Screen on (unlocked),4/16/23,0.87,0
Screen off,4/16/23,0.87,0
Screen off (locked),4/16/23,0.86,709
Messages,4/16/23,0.86,28
Screen on (unlocked),4/16/23,0.86,0
Screen off,4/16/23,0.86,0
Screen off (locked),4/16/23,0.86,87
Messages,4/16/23,0.86,32
Screen on (unlocked),4/16/23,0.86,0
Screen off,4/16/23,0.86,0
Screen off (locked),4/16/23,0.86,112
Messages,4/16/23,0.85,430
Screen on (unlocked),4/16/23,0.85,0
Screen off,4/16/23,0.85,0
Screen off (locked),4/16/23,0.85,14
Messages,4/16/23,0.85,264
Gallery,4/16/23,0.85,4
Messages,4/16/23,0.84,435
Screen on (unlocked),4/16/23,0.84,0
Screen off,4/16/23,0.84,0
Screen off (locked),4/16/23,0.84,24
Messages,4/16/23,0.84,31
Screen on (unlocked),4/16/23,0.84,0
Screen off,4/16/23,0.84,0
Screen off (locked),4/16/23,0.84,39
Messages,4/16/23,0.84,254
Screen on (unlocked),4/16/23,0.84,0
Screen off,4/16/23,0.84,0
Screen off (locked),4/16/23,0.84,31
Messages,4/16/23,0.84,24
Gmail,4/16/23,0.84,1
Crunchyroll,4/16/23,0.84,17
Messages,4/16/23,0.84,34
Venmo,4/16/23,0.84,24
Gmail,4/16/23,0.84,22
Messages,4/16/23,0.83,109
Messages,4/16/23,0.83,102
Venmo,4/16/23,0.83,3
Permission controller,4/16/23,0.83,1
Venmo,4/16/23,0.83,1
Gmail,4/16/23,0.83,4
Google,4/16/23,0.83,68
Chrome,4/16/23,0.83,12
Google,4/16/23,0.83,18
Amazon Shopping,4/16/23,0.83,6
Messages,4/16/23,0.83,11
Google,4/16/23,0.83,25
Messages,4/16/23,0.83,14
Snapchat,4/16/23,0.83,2
GameStop,4/16/23,0.83,57
Snapchat,4/16/23,0.83,6
GameStop,4/16/23,0.83,14
Messages,4/16/23,0.83,3
YouTube,4/16/23,0.83,132
Messages,4/16/23,0.83,44
YouTube,4/16/23,0.83,63
Snapchat,4/16/23,0.83,20
YouTube,4/16/23,0.83,68
Snapchat,4/16/23,0.82,116
Messages,4/16/23,0.82,61
YouTube,4/16/23,0.82,726
Messages,4/16/23,0.82,32
YouTube,4/16/23,0.81,208
Messages,4/16/23,0.81,66
YouTube,4/16/23,0.81,177
Google,4/16/23,0.81,56
Chrome,4/16/23,0.81,120
Google,4/16/23,0.81,23
Chrome,4/16/23,0.81,11
Google,4/16/23,0.81,20
Chrome,4/16/23,0.81,46
Google,4/16/23,0.81,6
Chrome,4/16/23,0.81,40
Google,4/16/23,0.81,6
Chrome,4/16/23,0.81,55
Google,4/16/23,0.81,4
Chrome,4/16/23,0.8,53
Google,4/16/23,0.8,16
Snapchat,4/16/23,0.8,31
Google,4/16/23,0.8,1
Screen on (unlocked),4/16/23,0.8,0
Screen off,4/16/23,0.8,0
Screen off (locked),4/16/23,0.8,72
Android Auto,4/16/23,0.8,21
Android Auto,4/16/23,0.79,206
Maps,4/16/23,0.79,14
Screen on (locked),4/16/23,0.79,6
Screen off (locked),4/16/23,0.78,559
Google,4/16/23,0.78,5
Screen on (unlocked),4/16/23,0.78,0
Screen off,4/16/23,0.78,0
Screen off (locked),4/16/23,0.78,112
Google,4/16/23,0.78,80
Screen on (unlocked),4/16/23,0.78,0
Screen off,4/16/23,0.78,0
Screen off (locked),4/16/23,0.78,554
Snapchat,4/16/23,0.77,27
Venmo,4/16/23,0.77,6
Permission controller,4/16/23,0.77,6
Venmo,4/16/23,0.77,3
Snapchat,4/16/23,0.77,10
Screen on (unlocked),4/16/23,0.77,0
Screen off,4/16/23,0.77,0
Screen off (locked),4/16/23,0.77,653
Screen on (unlocked),4/16/23,0.77,0
Screen on (locked),4/16/23,0.77,13
Screen off (locked),4/16/23,0.76,144
Screen on (unlocked),4/16/23,0.76,2
YouTube,4/16/23,0.76,1
Android Auto,4/16/23,0.76,1
Screen on (locked),4/16/23,0.76,1
Screen off (locked),4/16/23,0.75,1405
Screen on (locked),4/16/23,0.75,5
Screen off (locked),4/16/23,0.74,395
YouTube,4/16/23,0.73,834
Messages,4/16/23,0.73,115
YouTube,4/16/23,0.73,572
Screen on (unlocked),4/16/23,0.73,0
Screen on (locked),4/16/23,0.73,1
Screen off (locked),4/16/23,0.73,1
Screen on (locked),4/16/23,0.73,50
Screen off,4/16/23,0.72,157
YouTube,4/16/23,0.72,534
YouTube,4/16/23,0.71,712
Messages,4/16/23,0.71,53
Screen on (unlocked),4/16/23,0.71,0
Clock,4/16/23,0.71,5
Screen on (locked),4/16/23,0.71,0
Screen off (locked),4/16/23,0.71,33
Opera,4/16/23,0.71,133
Messages,4/16/23,0.7,104
Google Play Store,4/16/23,0.7,7
Snapchat,4/16/23,0.7,15
Screen on (unlocked),4/16/23,0.7,1
Screen on (locked),4/16/23,0.7,2
Screen off (locked),4/16/23,0.7,13
Snapchat,4/16/23,0.7,262
Drive,4/16/23,0.7,36
Finder,4/16/23,0.7,1
Drive,4/16/23,0.7,8
Photos,4/16/23,0.7,11
Drive,4/16/23,0.7,35
Files,4/16/23,0.7,4
Drive,4/16/23,0.7,5
Finder,4/16/23,0.7,4
Snapchat,4/16/23,0.7,21
Messages,4/16/23,0.7,4
WhatsApp,4/16/23,0.7,1
Gmail,4/16/23,0.7,4
Files,4/16/23,0.7,6
Gmail,4/16/23,0.7,6
WhatsApp,4/16/23,0.7,30
Snapchat,4/16/23,0.7,13
Google Play Store,4/16/23,0.7,1
Screen on (unlocked),4/16/23,0.7,0
Screen off,4/16/23,0.7,0
Screen off (locked),4/16/23,0.68,1164
Google Play Store,4/16/23,0.68,38
Finder,4/16/23,0.68,2
Snapchat,4/16/23,0.68,521
Phone,4/16/23,0.68,77
Call,4/16/23,0.68,32
Phone,4/16/23,0.68,26
Call,4/16/23,0.68,101
Phone,4/16/23,0.68,5
Screen on (unlocked),4/16/23,0.68,0
Screen off,4/16/23,0.68,0
Screen off (locked),4/16/23,0.67,690
Screen on (locked),4/16/23,0.67,13
Screen off (locked),4/16/23,0.66,869
Snapchat,4/16/23,0.66,28
WhatsApp,4/16/23,0.65,126
Screen on (unlocked),4/16/23,0.65,0
Screen off,4/16/23,0.65,0
Screen off (locked),4/16/23,0.65,256
Screen on (unlocked),4/16/23,0.65,0
Screen off,4/16/23,0.65,0
Screen off (locked),4/16/23,0.65,202
WhatsApp,4/16/23,0.65,133
Snapchat,4/16/23,0.65,12
Screen on (unlocked),4/16/23,0.65,0
Screen off,4/16/23,0.65,0
Screen off (locked),4/16/23,0.65,16
Messages,4/16/23,0.65,41
Screen on (unlocked),4/16/23,0.65,0
Screen off,4/16/23,0.65,0
Screen off (locked),4/16/23,0.65,8
Screen on (unlocked),4/16/23,0.65,0
Screen off,4/16/23,0.65,0
Screen off (locked),4/16/23,0.64,58
Screen on (unlocked),4/16/23,0.64,0
Screen off,4/16/23,0.64,0
Screen off (locked),4/16/23,0.64,33
Messages,4/16/23,0.64,7
Screen on (unlocked),4/16/23,0.64,1
Screen off,4/16/23,0.64,0
Screen off (locked),4/16/23,0.63,1568
Reminder,4/16/23,0.63,6
Screen on (locked),4/16/23,0.63,0
Screen off (locked),4/16/23,0.63,63
Reminder,4/16/23,0.63,9
Screen on (locked),4/16/23,0.63,0
Screen off (locked),4/16/23,0.62,342
Screen on (locked),4/16/23,0.62,8
Screen off (locked),4/16/23,0.62,265
Screen on (unlocked),4/16/23,0.62,0
Screen off,4/16/23,0.62,0
Screen off (locked),4/16/23,0.62,5
Screen on (unlocked),4/16/23,0.62,0
Screen off,4/16/23,0.62,0
Screen off (locked),4/16/23,0.62,184
Chrome,4/16/23,0.61,23
Google,4/16/23,0.61,13
Screen on (unlocked),4/16/23,0.61,0
Screen off,4/16/23,0.61,0
Screen off (locked),4/16/23,0.61,495
Calculator,4/16/23,0.61,2
Screen on (unlocked),4/16/23,0.61,0
Screen off,4/16/23,0.61,0
Screen off (locked),4/16/23,0.61,185
Screen on (unlocked),4/16/23,0.61,0
Screen off,4/16/23,0.61,0
Screen off (locked),4/16/23,0.61,65
Gmail,4/16/23,0.6,5
Spotify,4/16/23,0.6,84
Snapchat,4/16/23,0.6,16
Spotify,4/16/23,0.6,34
Screen on (unlocked),4/16/23,0.6,0
Screen off,4/16/23,0.6,0
Screen off (locked),4/16/23,0.58,1690
Samsung Notes,4/16/23,0.58,1
Screen on (locked),4/16/23,0.58,0
Screen off (locked),4/16/23,0.58,19
Screen on (locked),4/16/23,0.58,39
Screen off (locked),4/16/23,0.58,15
Wells Fargo,4/16/23,0.58,98
Screen on (unlocked),4/16/23,0.58,0
Screen off,4/16/23,0.58,0
Screen off (locked),4/16/23,0.58,19
Tile,4/16/23,0.58,20
Screen on (unlocked),4/16/23,0.58,0
Screen off,4/16/23,0.58,0
Screen off (locked),4/16/23,0.57,942
Camera,4/16/23,0.57,7
Screen on (locked),4/16/23,0.57,0
Screen off (locked),4/16/23,0.54,2512
Maps,4/16/23,0.54,7
Screen on (unlocked),4/16/23,0.54,1
Screen on (locked),4/16/23,0.54,1
Screen off (locked),4/16/23,0.54,38
Screen on (locked),4/16/23,0.54,13
Screen off (locked),4/16/23,0.54,55
Screen on (locked),4/16/23,0.54,25
Screen off (locked),4/16/23,0.53,273
Maps,4/16/23,0.53,13
Screen on (unlocked),4/16/23,0.53,0
Screen off,4/16/23,0.53,0
Screen off (locked),4/16/23,0.53,37
WhatsApp,4/16/23,0.53,40
WhatsApp,4/16/23,0.53,15
Phone,4/16/23,0.53,1
Screen on (unlocked),4/16/23,0.53,11
Screen on (locked),4/16/23,0.53,1
Screen off (locked),4/16/23,0.53,72
Screen on (locked),4/16/23,0.53,25
Screen off (locked),4/16/23,0.53,151
Maps,4/16/23,0.53,216
Screen on (unlocked),4/16/23,0.53,0
Screen off,4/16/23,0.53,1
Screen off (locked),4/16/23,0.51,1851
Screen on (locked),4/16/23,0.51,10
Screen off (locked),4/16/23,0.5,127
Camera,4/16/23,0.5,3
Gallery,4/16/23,0.5,51
Camera,4/16/23,0.5,17
Screen on (locked),4/16/23,0.5,2
Screen off (locked),4/16/23,0.5,377
Screen on (locked),4/16/23,0.5,7
Screen off (locked),4/16/23,0.5,15
Samsung Notes,4/16/23,0.5,10
Screen on (locked),4/16/23,0.5,0
Screen off (locked),4/16/23,0.5,9
Maps,4/16/23,0.5,12
Screen on (unlocked),4/16/23,0.5,0
Screen off,4/16/23,0.5,0
Screen off (locked),4/16/23,0.49,480
Screen on (locked),4/16/23,0.49,4
Screen off (locked),4/16/23,0.48,727
Google,4/16/23,0.48,1
Chrome,4/16/23,0.48,31
Google,4/16/23,0.48,2
Chrome,4/16/23,0.48,70
Google,4/16/23,0.48,15
Screen on (unlocked),4/16/23,0.48,0
Screen off,4/16/23,0.48,0
Screen off (locked),4/16/23,0.48,1
Screen on (unlocked),4/16/23,0.48,2
Screen off,4/16/23,0.48,1
Screen off (locked),4/16/23,0.48,35
Screen on (locked),4/16/23,0.48,7
Screen off (locked),4/16/23,0.48,2
Chrome,4/16/23,0.48,44
Google,4/16/23,0.48,4
Chrome,4/16/23,0.48,51
Google,4/16/23,0.48,2
Chrome,4/16/23,0.48,13
Google,4/16/23,0.48,20
Google,4/16/23,0.48,34
Chrome,4/16/23,0.48,126
Google,4/16/23,0.48,4
Chrome,4/16/23,0.48,110
Google,4/16/23,0.48,45
Maps,4/16/23,0.48,4
Maps,4/16/23,0.48,59
Maps,4/16/23,0.47,140
Gmail,4/16/23,0.47,15
Maps,4/16/23,0.47,51
Screen on (unlocked),4/16/23,0.47,0
Screen on (locked),4/16/23,0.47,1
Screen off (locked),4/16/23,0.47,43
Screen on (unlocked),4/16/23,0.47,0
Screen off,4/16/23,0.47,0
Screen off (locked),4/16/23,0.47,19
Maps,4/16/23,0.47,23
Phone,4/16/23,0.47,1
Maps,4/16/23,0.47,52
Screen on (unlocked),4/16/23,0.47,3
Screen on (locked),4/16/23,0.47,1
Screen off (locked),4/16/23,0.46,493
Screen on (unlocked),4/16/23,0.46,1
Screen on (locked),4/16/23,0.46,6
Screen off (locked),4/16/23,0.46,141
Screen on (unlocked),4/16/23,0.45,0
Screen off,4/16/23,0.45,0
Screen off (locked),4/16/23,0.45,22
Screen on (locked),4/16/23,0.45,20
Screen off (locked),4/16/23,0.45,106
Phone,4/16/23,0.45,1
Screen on (unlocked),4/16/23,0.45,0
Screen off,4/16/23,0.45,0
Screen off (locked),4/16/23,0.45,379
Call,4/16/23,0.45,30
Phone,4/16/23,0.45,4
Screen on (unlocked),4/16/23,0.45,0
Screen off,4/16/23,0.45,0
Screen off (locked),4/16/23,0.44,1066
Weather,4/16/23,0.43,100
Phone,4/16/23,0.43,3
Call,4/16/23,0.43,57
Phone,4/16/23,0.43,4
Screen on (unlocked),4/16/23,0.43,0
Screen off,4/16/23,0.43,1
Device boot,4/16/23,0.43,276
Device shutdown,4/16/23,0.42,562
Weather,4/16/23,0.42,57
Weather,4/16/23,0.42,20
Weather,4/16/23,0.42,47
Device boot,4/16/23,0.42,0
Screen off (locked),4/16/23,0.41,488
Screen on (locked),4/16/23,0.41,7
Screen off (locked),4/16/23,0.39,2449
Permission controller,4/16/23,0.39,1
Screen on (unlocked),4/16/23,0.39,0
Screen on (locked),4/16/23,0.39,6
Screen off (locked),4/15/23,0.99,34210
Screen on (locked),4/15/23,0.99,26
Screen off (locked),4/15/23,0.99,10
Screen on (locked),4/15/23,0.99,11
Screen off (locked),4/15/23,0.99,8
Screen on (locked),4/15/23,0.99,8
Screen off (locked),4/15/23,0.99,21
Screen on (locked),4/15/23,0.99,6
Screen off (locked),4/15/23,0.99,1
