"Date","Time","Latitude","Longitude","Accuracy(m)"
"04/04/23","8:02:27 pm","17.483266","78.309584","13"
"04/04/23","6:10:36 pm","17.479979","78.316295","11"
"04/04/23","5:00:40 pm","17.483236","78.309568","16"
"01/04/23","4:24:29 pm","17.483209","78.309546","14"
"31/03/23","9:02:06 am","17.483237","78.309474","18"
"30/03/23","11:57:35 pm","17.483243","78.309555","15"
"30/03/23","4:58:17 am","17.483263","78.309570","15"
"30/03/23","12:55:13 am","17.483225","78.309543","15"
"29/03/23","4:24:52 pm","17.483177","78.307947","9"
"28/03/23","8:19:57 pm","17.484240","78.305725","19"
"28/03/23","4:48:18 pm","17.496100","78.336637","13"
"27/03/23","11:21:31 pm","17.483213","78.309538","14"
""
"Location history, 16 April 2023 - 26 March 2023"
"Created by App Usage on Wednesday, 26 April, 2023, 11:37 pm"
