Date,Time,Latitude,Longitude,Accuracy(m)
,,,,
4/4/2023,8:02:27 PM,17.483266,78.309584,13
4/4/2023,6:10:36 PM,17.479979,78.316295,11
4/4/2023,5:00:40 PM,17.483236,78.309568,16
1/4/2023,4:24:29 PM,17.483209,78.309546,14
31/03/23,9:02:06 AM,17.483237,78.309474,18
30/03/23,11:57:35 PM,17.483243,78.309555,15
30/03/23,4:58:17 AM,17.483263,78.30957,15
30/03/23,12:55:13 AM,17.483225,78.309543,15
29/03/23,4:24:52 PM,17.483177,78.307947,9
28/03/23,8:19:57 PM,17.48424,78.305725,19
28/03/23,4:48:18 PM,17.4961,78.336637,13
27/03/23,11:21:31 PM,17.483213,78.309538,14
,,,,
"Location history, 16 April 2023 - 26 March 2023",,,,
"Created by App Usage on Wednesday, 26 April, 2023, 11:37 pm",,,,
