"Date","Time","Latitude","Longitude","Accuracy(m)"
"4/5/23","7:29:08 PM","29.974592","-81.485730","15"
"4/5/23","5:53:10 PM","29.858012","-81.323952","3"
"4/5/23","5:38:28 PM","29.884475","-81.353012","33"
"4/5/23","5:37:20 PM","29.905454","-81.357300","2400"
"4/5/23","5:33:55 PM","29.913886","-81.394696","2750"
"4/5/23","2:27:36 PM","29.910931","-81.417468","335"
"4/4/23","6:54:32 PM","29.974472","-81.485730","26"
"4/4/23","5:22:19 PM","29.910908","-81.417509","32"
"4/4/23","12:25:14 PM","29.915780","-81.416394","300"
"4/4/23","12:13:00 PM","29.920241","-81.413303","1799"
"4/4/23","11:45:35 AM","29.910933","-81.417440","23"
"4/3/23","6:07:48 PM","29.974567","-81.485743","12"
"4/3/23","6:07:04 PM","29.946846","-81.446302","5115"
"4/3/23","8:28:36 AM","29.910927","-81.417434","23"
"3/31/23","7:56:36 PM","29.974569","-81.485730","17"
"3/31/23","6:44:06 PM","29.919086","-81.422043","108"
"3/31/23","11:43:30 AM","29.910963","-81.417603","27"
"3/30/23","7:10:16 PM","29.974572","-81.485726","17"
"3/30/23","8:13:10 AM","29.910923","-81.417909","17"
"3/29/23","6:13:19 PM","29.974569","-81.485739","17"
"3/29/23","12:16:24 PM","29.910943","-81.417503","29"
"3/29/23","12:05:46 AM","29.974327","-81.485652","52"
""
"Location history, April 5, 2023 - March 26, 2023"
"Created by App Usage on Wednesday, April 5, 2023, 10:11 PM"
