"App name","Usage time","Access count"
"Messages","35:36:14","385"
"Chrome","27:07:39","296"
"Google","6:50:22","403"
"Call","6:09:14","206"
"Gmail","4:32:14","65"
"Calculator","3:01:45","36"
"Drive","2:40:29","41"
"Gallery","2:32:44","69"
"Facebook","1:41:37","6"
"YouTube","1:31:18","16"
"Clock","1:16:17","20"
"Phone","1:15:45","99"
"Blink","0:37:08","21"
"Weather","0:27:13","26"
"App Usage","0:24:42","11"
"Photos","0:20:13","6"
"Messenger","0:19:50","1"
"Camera","0:19:20","40"
"Maps","0:10:27","5"
"Amazon Alexa","0:06:53","4"
"Earth","0:05:36","1"
"Photo Editor","0:04:41","5"
"Doximity","0:03:55","1"
"Smart View","0:03:28","6"
"Google Play Store","0:02:19","2"
"Wallpapers","0:01:55","11"
"Calendar","0:01:52","3"
"Files","0:01:28","2"
"Digital Wellbeing","0:01:16","1"
"Contacts","0:00:55","4"
"Reminder","0:00:52","7"
"Permission controller","0:00:42","2"
"MyChart","0:00:28","1"
"System UI","0:00:24","7"
"Galaxy Themes","0:00:23","1"
"Discovery GO","0:00:20","3"
"Voicemail","0:00:12","4"
"Device care","0:00:09","1"
"Samsung account","0:00:08","1"
"The Weather Channel","0:00:06","1"
"Gboard","0:00:02","1"
"Accessibility","0:00:01","1"
"Phone","0:00:00","3"
"Duo","0:00:00","1"
""
"Date","Usage time"
"4/5/23","9:37:50"
"4/4/23","7:38:08"
"4/3/23","10:54:59"
"4/2/23","7:02:19"
"4/1/23","6:58:28"
"3/31/23","12:36:26"
"3/30/23","9:20:34"
"3/29/23","9:21:34"
"3/28/23","9:34:41"
"3/27/23","6:38:25"
"3/26/23","7:49:11"
""
"Usage history, April 5, 2023 - March 26, 2023"
"Created by App Usage on Wednesday, April 5, 2023, 10:03 PM"
