"App name","Usage time","Access count"
"YouTube","10:36:12","114"
"Instagram","7:32:03","91"
"Shadow Fight 3","6:45:21","49"
"WhatsApp","5:48:48","429"
"Phone","3:19:58","357"
"Facebook","2:59:33","46"
"Chrome","1:53:05","102"
"Myntra","1:50:31","58"
"Maps","1:16:21","16"
"Spotify","1:03:51","72"
"Snapchat","0:55:29","59"
"JioCinema","0:54:04","17"
"HDFC Bank","0:48:22","34"
"Naukri.com","0:42:15","30"
"Truecaller","0:28:38","301"
"PhonePe","0:26:49","52"
"Authenticator","0:25:37","72"
"Security","0:23:41","381"
"Gmail","0:22:41","37"
"LinkedIn","0:18:27","15"
"Photos","0:15:11","11"
"Ola Electric","0:14:15","43"
"CRED","0:13:53","10"
"App Usage","0:13:00","21"
"CricHeroes","0:12:41","5"
"Playo","0:12:22","15"
"Messages","0:12:06","31"
"MonitorMix","0:11:55","17"
"Files","0:10:48","21"
"GuitarTuna","0:09:40","5"
"ElectricPe","0:09:24","13"
"Gallery","0:07:54","15"
"aha","0:07:41","1"
"Docs","0:07:31","18"
"Camera","0:05:55","18"
"Drive","0:05:43","10"
"GPay","0:05:40","11"
"Clock","0:05:35","18"
"Google Play Store","0:05:23","13"
"Flipkart","0:04:20","3"
"Mi Remote","0:03:39","8"
"Doc Scanner","0:03:18","6"
"Personal Safety","0:03:15","4"
"Amazon","0:02:41","3"
"Skype","0:02:25","7"
"Sheets","0:02:19","1"
"File Manager","0:02:18","16"
"ShareMe","0:01:38","3"
"Calculator","0:01:36","4"
"Keep notes","0:01:25","3"
"Netflix","0:01:18","4"
"Mi Doc Viewer (Powered by WPS)","0:01:14","5"
"Google","0:01:11","6"
"Contacts","0:00:58","5"
"Hotstar","0:00:56","1"
"System UI","0:00:55","2"
"Paytm","0:00:49","5"
"GetApps","0:00:42","3"
"Package installer","0:00:33","6"
"Permission controller","0:00:16","8"
"Wallpaper Carousel","0:00:13","1"
"Bethel","0:00:10","1"
"Gboard","0:00:08","1"
"Star Power","0:00:07","1"
"Battery and performance","0:00:06","3"
"Screenshot","0:00:06","2"
"Battlegrounds India","0:00:03","1"
"Calendar","0:00:03","2"
"Zedge","0:00:03","1"
"Call Management","0:00:03","10"
"Speech Services by Google","0:00:01","1"
"System UI Plug-in","0:00:01","1"
""
"Date","Usage time"
"06/04/23","4:30:29"
"05/04/23","6:23:25"
"04/04/23","5:11:50"
"03/04/23","5:13:43"
"02/04/23","2:42:13"
"01/04/23","6:05:33"
"31/03/23","5:25:56"
"30/03/23","5:10:04"
"29/03/23","2:45:23"
"28/03/23","4:08:17"
"27/03/23","2:12:55"
"26/03/23","2:47:21"
""
"Usage history, 6 April 2023 - 26 March 2023"
"Created by App Usage on Thursday, 6 April, 2023, 10:41 pm"
