"App name","Date","Time","Duration"
"App Usage","06/04/2023","13:12:19","0:00:01"
"WhatsApp","06/04/2023","13:11:55","0:00:22"
"App Usage","06/04/2023","13:10:13","0:01:38"
"WhatsApp","06/04/2023","13:10:10","0:00:01"
"Screen on (unlocked)","06/04/2023","13:09:15","0:00:55"
"Screen on (locked)","06/04/2023","13:09:13","0:00:01"
"Screen off (locked)","06/04/2023","13:09:12","0:00:02"
"Screen on (locked)","06/04/2023","13:09:03","0:00:08"
"Screen off (locked)","06/04/2023","13:08:58","0:00:05"
"Screen on (locked)","06/04/2023","13:07:04","0:01:55"
"Screen off (locked)","06/04/2023","13:06:35","0:00:28"
"Screen on (locked)","06/04/2023","13:06:26","0:00:09"
"Screen off (locked)","06/04/2023","13:05:54","0:00:32"
"Screen on (locked)","06/04/2023","13:05:42","0:00:12"
"Screen off (locked)","06/04/2023","12:58:24","0:07:19"
"Screen on (locked)","06/04/2023","12:58:09","0:00:15"
"Screen off (locked)","06/04/2023","12:09:58","0:48:11"
"WhatsApp","06/04/2023","12:09:08","0:00:50"
"Screen on (locked)","06/04/2023","12:09:08","0:00:00"
"Screen off (locked)","06/04/2023","11:48:00","0:21:08"
"Screen on (locked)","06/04/2023","11:47:54","0:00:06"
"Screen off (locked)","06/04/2023","11:34:31","0:13:23"
"WhatsApp","06/04/2023","11:34:04","0:00:23"
"App Usage","06/04/2023","11:33:40","0:00:12"
"WhatsApp","06/04/2023","11:33:24","0:00:13"
"App Usage","06/04/2023","11:27:27","0:05:57"
"Screen on (unlocked)","06/04/2023","11:27:21","0:00:01"
"Screen on (locked)","06/04/2023","11:27:16","0:00:05"
"Screen off (locked)","06/04/2023","11:25:14","0:02:02"
"Screen on (locked)","06/04/2023","11:25:02","0:00:12"
"Screen off (locked)","06/04/2023","11:18:13","0:06:50"
"Screen on (locked)","06/04/2023","11:18:06","0:00:07"
"Screen off (locked)","06/04/2023","11:16:42","0:01:23"
"Screen on (locked)","06/04/2023","11:16:38","0:00:05"
"Screen off (locked)","06/04/2023","11:16:03","0:00:34"
"Screen on (locked)","06/04/2023","11:15:47","0:00:16"
"Screen off (locked)","06/04/2023","10:55:46","0:20:02"
"Screen on (locked)","06/04/2023","10:55:38","0:00:08"
"Screen off (locked)","06/04/2023","10:07:01","0:48:37"
"Screen on (locked)","06/04/2023","10:06:53","0:00:08"
"Screen off (locked)","06/04/2023","10:05:46","0:01:07"
"WhatsApp","06/04/2023","10:02:43","0:03:00"
"Screen on (unlocked)","06/04/2023","10:02:40","0:00:03"
"WhatsApp","06/04/2023","10:02:28","0:00:11"
"Screen on (locked)","06/04/2023","10:02:28","0:00:00"
"Screen off (locked)","06/04/2023","09:59:43","0:02:45"
"Screen on (unlocked)","06/04/2023","09:59:27","0:00:16"
"Screen on (locked)","06/04/2023","09:59:23","0:00:02"
"Screen off (locked)","06/04/2023","09:57:59","0:01:23"
"Screen on (unlocked)","06/04/2023","09:57:50","0:00:10"
"Screen on (locked)","06/04/2023","09:57:47","0:00:01"
"Screen off (locked)","06/04/2023","09:55:51","0:01:55"
"Screen on (locked)","06/04/2023","09:55:31","0:00:20"
"Screen off (locked)","06/04/2023","09:52:19","0:03:12"
"WhatsApp","06/04/2023","09:51:58","0:00:18"
"Screen on (unlocked)","06/04/2023","09:51:53","0:00:05"
"Screen on (locked)","06/04/2023","09:51:48","0:00:04"
"Screen off (locked)","06/04/2023","09:51:45","0:00:03"
"Screen on (locked)","06/04/2023","09:51:43","0:00:02"
"Screen off (locked)","06/04/2023","09:49:56","0:01:47"
"WhatsApp","06/04/2023","09:49:48","0:00:04"
"Google","06/04/2023","09:49:43","0:00:01"
"Myntra","06/04/2023","09:49:19","0:00:24"
"Cricbuzz","06/04/2023","09:49:17","0:00:02"
"Clock","06/04/2023","09:46:07","0:03:09"
"Screen on (unlocked)","06/04/2023","09:41:51","0:04:17"
"Screen on (locked)","06/04/2023","09:41:46","0:00:04"
"Screen off (locked)","06/04/2023","09:37:22","0:04:24"
"WhatsApp","06/04/2023","09:37:15","0:00:01"
"Cricbuzz","06/04/2023","09:36:28","0:00:44"
"WhatsApp","06/04/2023","09:35:54","0:00:25"
"WhatsApp","06/04/2023","09:35:45","0:00:08"
"Screen on (unlocked)","06/04/2023","09:35:43","0:00:02"
"Screen on (locked)","06/04/2023","09:35:36","0:00:06"
"Screen off (locked)","06/04/2023","09:35:13","0:00:24"
"Screen on (locked)","06/04/2023","09:35:03","0:00:10"
"Screen off (locked)","06/04/2023","09:35:00","0:00:03"
"Screen on (locked)","06/04/2023","09:34:32","0:00:28"
"Screen off (locked)","06/04/2023","09:20:53","0:13:38"
"Screen on (locked)","06/04/2023","09:20:40","0:00:13"
"Screen off (locked)","06/04/2023","09:17:14","0:03:26"
"Screen on (locked)","06/04/2023","09:17:12","0:00:02"
"Screen off (locked)","06/04/2023","08:36:33","0:40:40"
"Screen on (locked)","06/04/2023","08:36:30","0:00:03"
"Screen off (locked)","06/04/2023","07:45:54","0:50:35"
"Clock","06/04/2023","07:45:02","0:00:52"
"Screen on (locked)","06/04/2023","07:45:02","0:00:00"
"Screen off (locked)","06/04/2023","07:35:35","0:09:28"
"WhatsApp","06/04/2023","07:34:08","0:01:18"
"WhatsApp","06/04/2023","07:33:53","0:00:14"
"Screen on (unlocked)","06/04/2023","07:33:47","0:00:06"
"Screen on (locked)","06/04/2023","07:33:42","0:00:04"
"Screen off (locked)","06/04/2023","06:10:48","1:22:54"
"Screen on (unlocked)","06/04/2023","06:10:31","0:00:02"
"Screen on (locked)","06/04/2023","06:10:27","0:00:04"
"Screen off (locked)","06/04/2023","05:37:30","0:32:57"
"Screen on (locked)","06/04/2023","05:37:22","0:00:08"
"Screen off (locked)","06/04/2023","04:52:04","0:45:18"
"Screen on (locked)","06/04/2023","04:51:55","0:00:08"
"Screen off (locked)","06/04/2023","03:52:02","0:59:53"
"Screen on (locked)","06/04/2023","03:51:55","0:00:07"
"Screen off (locked)","06/04/2023","02:41:00","1:10:55"
"Screen on (locked)","06/04/2023","02:40:47","0:00:13"
"Screen off (locked)","06/04/2023","01:50:58","0:49:48"
"Screen on (locked)","06/04/2023","01:50:52","0:00:07"
"Screen off (locked)","06/04/2023","01:23:45","0:27:07"
"Clock","06/04/2023","01:23:31","0:00:07"
"Screen on (unlocked)","06/04/2023","01:23:18","0:00:13"
"Screen on (locked)","06/04/2023","01:23:14","0:00:03"
"Screen off (locked)","06/04/2023","01:02:44","0:20:30"
"Screen on (locked)","06/04/2023","01:02:38","0:00:06"
"Screen off (locked)","06/04/2023","00:56:48","0:05:50"
"Screen on (locked)","06/04/2023","00:56:35","0:00:13"
"Screen off (locked)","06/04/2023","00:37:06","0:19:29"
"Screen on (unlocked)","06/04/2023","00:36:56","0:00:09"
"Screen on (locked)","06/04/2023","00:36:54","0:00:01"
"Screen off (locked)","06/04/2023","00:36:52","0:00:02"
"Screen on (locked)","06/04/2023","00:36:50","0:00:02"
"Screen off (locked)","06/04/2023","00:10:39","0:26:11"
"Screen on (locked)","06/04/2023","00:10:25","0:00:14"
"Screen off (locked)","06/04/2023","00:09:56","0:00:29"
"WhatsApp","06/04/2023","00:09:42","0:00:11"
"Screen on (unlocked)","06/04/2023","00:09:39","0:00:02"
"Screen on (locked)","06/04/2023","00:09:37","0:00:01"
"Screen off (locked)","06/04/2023","00:09:35","0:00:01"
"Screen on (locked)","06/04/2023","00:09:31","0:00:04"
"Screen off (locked)","05/04/2023","23:48:04","0:21:27"
"WhatsApp","05/04/2023","23:47:32","0:00:27"
"App Usage","05/04/2023","23:45:55","0:01:32"
"Screen on (unlocked)","05/04/2023","23:45:51","0:00:05"
"Screen on (locked)","05/04/2023","23:45:47","0:00:02"
"Screen off (locked)","05/04/2023","23:21:46","0:24:01"
"WhatsApp","05/04/2023","23:20:02","0:01:41"
"Screen on (unlocked)","05/04/2023","23:19:52","0:00:06"
"Screen on (locked)","05/04/2023","23:19:49","0:00:02"
"Screen off (locked)","05/04/2023","23:12:11","0:07:38"
"WhatsApp","05/04/2023","23:11:22","0:00:25"
"Screen on (unlocked)","05/04/2023","23:11:20","0:00:02"
"Screen on (locked)","05/04/2023","23:11:18","0:00:02"
"Screen off (locked)","05/04/2023","23:02:41","0:08:37"
"WhatsApp","05/04/2023","23:02:33","0:00:06"
"Screen on (unlocked)","05/04/2023","23:02:28","0:00:05"
"Screen on (locked)","05/04/2023","23:02:26","0:00:01"
"Screen off (locked)","05/04/2023","22:57:00","0:05:26"
"Screen on (locked)","05/04/2023","22:56:58","0:00:02"
"Screen off (locked)","05/04/2023","22:53:12","0:03:47"
"Screen on (locked)","05/04/2023","22:53:07","0:00:05"
"Screen off (locked)","05/04/2023","22:42:12","0:10:55"
"WhatsApp","05/04/2023","22:41:59","0:00:13"
"Screen on (locked)","05/04/2023","22:41:59","0:00:00"
"Screen off (locked)","05/04/2023","22:41:50","0:00:09"
"Screen on (unlocked)","05/04/2023","22:41:33","0:00:16"
"Screen on (locked)","05/04/2023","22:41:23","0:00:09"
"Screen off (locked)","05/04/2023","22:10:30","0:30:54"
"Screen on (locked)","05/04/2023","22:10:21","0:00:08"
"Screen off (locked)","05/04/2023","22:06:03","0:04:18"
"Screen on (locked)","05/04/2023","22:05:57","0:00:06"
"Screen off (locked)","05/04/2023","22:05:52","0:00:05"
"Screen on (locked)","05/04/2023","22:05:50","0:00:02"
"Screen off (locked)","05/04/2023","21:55:16","0:10:34"
"Screen on (unlocked)","05/04/2023","21:55:08","0:00:04"
"Screen on (locked)","05/04/2023","21:55:04","0:00:04"
"Screen off (locked)","05/04/2023","21:12:36","0:42:28"
"Screen on (unlocked)","05/04/2023","21:12:29","0:00:07"
"Screen on (locked)","05/04/2023","21:12:25","0:00:03"
"Screen off (locked)","05/04/2023","21:10:28","0:01:57"
"Screen on (locked)","05/04/2023","21:10:21","0:00:08"
"Screen off (locked)","05/04/2023","21:10:05","0:00:15"
"Screen on (locked)","05/04/2023","21:10:03","0:00:02"
"Screen off (locked)","05/04/2023","20:58:10","0:11:53"
