"Date","Time","Latitude","Longitude","Accuracy(m)"
"06/04/2023","13:09:22","30.442513","-84.303082","1100"
"06/04/2023","11:27:29","30.443114","-84.295222","14"
"06/04/2023","10:55:39","30.445991","-84.299175","18"
"06/04/2023","10:06:59","30.443518","-84.301438","1299"
"06/04/2023","09:59:28","30.447990","-84.310565","27"
"06/04/2023","09:57:54","30.451283","-84.306700","1000"
"06/04/2023","09:51:44","30.463793","-84.317595","22"
"06/04/2023","09:41:55","30.453880","-84.308673","1299"
"04/04/2023","14:03:12","30.451921","-84.316376","33"
"04/04/2023","12:07:26","30.443518","-84.301438","1299"
"04/04/2023","11:38:49","30.445623","-84.299164","26"
"04/04/2023","00:46:26","30.451931","-84.316317","40"
"03/04/2023","23:52:58","30.455241","-84.317488","74"
"03/04/2023","18:54:56","30.451947","-84.316369","13"
"03/04/2023","17:48:26","30.448022","-84.313755","36"
"02/04/2023","21:32:12","30.451917","-84.316242","15"
"02/04/2023","15:03:03","30.444830","-84.297613","11"
"02/04/2023","14:07:43","30.449283","-84.313549","14"
"31/03/2023","21:03:21","30.451880","-84.316328","25"
"31/03/2023","21:00:48","30.453880","-84.308673","1299"
"31/03/2023","19:29:27","30.451911","-84.316259","15"
"31/03/2023","18:37:06","30.443213","-84.306632","29"
"31/03/2023","12:28:20","30.441231","-84.293145","20"
"30/03/2023","21:02:24","30.451930","-84.316295","19"
"30/03/2023","20:19:56","30.445613","-84.300122","1100"
"30/03/2023","19:31:30","30.444857","-84.297100","17"
"30/03/2023","17:25:30","30.440981","-84.299251","13"
"30/03/2023","17:06:40","30.443518","-84.301438","1299"
"30/03/2023","13:30:49","30.440976","-84.299272","14"
"30/03/2023","11:36:04","30.443046","-84.294828","15"
"30/03/2023","11:19:36","30.444129","-84.299854","19"
"30/03/2023","09:39:00","30.448283","-84.311802","20"
"29/03/2023","15:22:07","30.451163","-84.316160","40"
"29/03/2023","15:18:01","30.445320","-84.334649","1899"
"29/03/2023","15:13:18","30.460071","-84.356590","98"
"29/03/2023","15:12:31","30.464701","-84.359627","1899"
"29/03/2023","14:48:43","30.461460","-84.359043","25"
"29/03/2023","14:48:24","30.460630","-84.348454","2200"
"29/03/2023","14:33:41","30.461611","-84.359612","18"
"29/03/2023","14:30:28","30.460630","-84.348454","2200"
"29/03/2023","14:06:54","30.462214","-84.358742","27"
"29/03/2023","13:11:53","30.461722","-84.358652","42"
"29/03/2023","13:05:55","30.464701","-84.359627","1899"
"29/03/2023","12:31:35","30.461259","-84.357519","16"
"29/03/2023","12:28:36","30.460630","-84.348454","2200"
"29/03/2023","12:16:57","30.449137","-84.313822","43"
"28/03/2023","19:03:36","30.451924","-84.316268","13"
"28/03/2023","15:17:43","30.441933","-84.301317","21"
"28/03/2023","11:33:52","30.443091","-84.295161","14"
"28/03/2023","11:05:09","30.446255","-84.299526","11"
"27/03/2023","10:50:59","30.451942","-84.316325","14"
""
"Location history, 6 April 2023 - 26 March 2023"
"Created by App Usage on Thursday, 6 April 2023, 13:11"
