"Date","Time","Latitude","Longitude","Accuracy(m)"
"4/20/23","9:13:20 PM","52.077796","4.678623","12"
"4/20/23","8:58:54 PM","52.077746","4.655285","899"
"4/20/23","8:44:48 PM","52.079101","4.660774","9"
"4/20/23","8:44:39 PM","52.074665","4.653955","60"
"4/20/23","8:41:50 PM","52.074343","4.661084","11"
"4/20/23","8:41:19 PM","51.725460","4.632390","23888"
"4/20/23","8:08:51 PM","51.601487","4.722011","12"
"4/20/23","8:00:51 PM","51.590420","4.722532","1200"
"4/20/23","7:58:28 PM","51.536243","4.742339","1500"
"4/20/23","7:43:36 PM","51.535729","5.088663","850"
"4/20/23","4:57:12 PM","50.812362","5.721491","15"
"4/20/23","4:56:30 PM","50.803809","5.725159","1399"
"4/20/23","4:45:16 PM","50.806811","5.723770","1399"
"4/20/23","4:24:02 PM","50.812217","5.721876","4"
"4/20/23","4:00:29 PM","50.637026","5.581855","14"
"4/20/23","4:00:02 PM","50.631229","5.577186","104"
"4/20/23","3:57:49 PM","50.627164","5.575415","500"
"4/20/23","3:56:54 PM","50.623076","5.580964","3"
"4/20/23","2:41:53 PM","49.636737","5.997855","8368"
"4/20/23","2:26:30 PM","49.588678","6.086270","1578"
"4/20/23","2:22:20 PM","49.600056","6.111567","10"
"4/20/23","2:16:26 PM","49.599594","6.118899","39"
"4/20/23","2:08:36 PM","49.598624","6.126109","4"
"4/20/23","2:04:59 PM","49.595937","6.133513","77"
"4/20/23","2:03:40 PM","49.602062","6.136936","13"
"4/20/23","1:48:58 PM","49.600479","6.133302","9"
"4/20/23","1:30:43 PM","49.609462","6.128079","8"
"4/20/23","1:24:49 PM","49.613277","6.128138","4"
"4/20/23","1:17:54 PM","49.615926","6.125671","10"
"4/20/23","11:58:47 AM","49.610751","6.130412","8"
"4/20/23","11:39:01 AM","49.603725","6.136058","17"
"4/20/23","10:25:19 AM","49.847203","6.457597","3"
"4/19/23","8:16:57 PM","49.823064","6.473402","10"
"4/19/23","8:16:48 PM","49.848221","6.452456","34"
"4/19/23","8:03:13 PM","49.840607","6.451053","2299"
"4/19/23","7:57:33 PM","49.848813","6.451938","4"
"4/19/23","5:20:28 PM","49.823068","6.473378","15"
"4/19/23","5:18:07 PM","49.822940","6.469450","8"
"4/19/23","4:52:00 PM","49.787276","6.302815","466"
"4/19/23","4:25:37 PM","49.790599","6.310004","2099"
"4/19/23","4:24:59 PM","49.780689","6.321423","172"
"4/19/23","3:59:57 PM","49.782651","6.316129","23"
"4/19/23","3:57:44 PM","49.776948","6.330862","2799"
"4/19/23","3:07:21 PM","49.789847","6.322260","278"
"4/19/23","2:09:08 PM","49.792180","6.312830","9"
"4/19/23","2:06:21 PM","49.789890","6.301868","27"
"4/19/23","1:14:52 PM","49.786502","6.300430","14"
"4/19/23","1:00:37 PM","49.811457","6.417653","9"
"4/19/23","12:53:05 PM","49.824360","6.469347","87"
"4/19/23","12:41:22 PM","49.847254","6.457643","4"
"4/19/23","9:33:26 AM","49.823014","6.473402","10"
"4/19/23","7:50:06 AM","49.818800","6.456286","1899"
"4/18/23","11:28:20 PM","49.823067","6.473381","22"
"4/18/23","11:23:06 PM","49.818770","6.462578","2900"
"4/18/23","6:11:07 PM","49.823064","6.473391","20"
"4/18/23","5:52:14 PM","49.818770","6.462578","2900"
"4/18/23","4:03:16 PM","49.756952","6.641280","9"
"4/18/23","3:26:58 PM","49.747842","6.649536","29"
"4/18/23","3:23:45 PM","49.753005","6.643454","1299"
"4/18/23","2:59:00 PM","49.747171","6.647974","7"
"4/18/23","2:56:26 PM","49.749741","6.645708","8"
"4/18/23","2:28:25 PM","49.750608","6.641348","8"
"4/18/23","1:22:02 PM","49.752180","6.636824","26"
"4/18/23","12:58:23 PM","49.755921","6.639088","8"
"4/18/23","12:57:05 PM","49.753005","6.643454","1299"
"4/18/23","12:43:34 PM","49.756815","6.642026","12"
"4/18/23","12:24:55 PM","49.756794","6.636587","32"
"4/18/23","11:57:26 AM","49.775520","6.588263","3"
"4/18/23","11:57:18 AM","49.778418","6.582624","3"
"4/17/23","9:21:52 PM","49.823059","6.473529","9"
"4/17/23","9:03:48 PM","49.824888","6.464059","6"
"4/17/23","8:42:38 PM","49.834705","6.471691","8"
"4/17/23","8:17:59 PM","49.829546","6.472069","17"
"4/17/23","7:48:19 PM","49.823114","6.473391","4"
"4/17/23","7:47:41 PM","49.818770","6.462578","2900"
"4/17/23","5:40:03 PM","49.823304","6.474863","5"
"4/17/23","5:38:31 PM","49.850935","6.461698","2000"
"4/17/23","5:19:29 PM","49.933077","6.491227","15"
"4/17/23","5:10:05 PM","50.044305","6.473388","2799"
"4/17/23","5:00:46 PM","50.139812","6.406672","6"
"4/17/23","4:54:55 PM","50.184455","6.387363","14"
"4/17/23","4:54:12 PM","50.190196","6.379299","2200"
"4/17/23","4:41:33 PM","50.215190","6.236958","10"
"4/17/23","4:38:05 PM","50.252663","6.169896","11"
"4/17/23","4:28:54 PM","50.363301","6.032371","39"
"4/17/23","4:27:32 PM","50.374854","6.013191","6"
"4/17/23","4:04:00 PM","50.635287","5.822064","113"
"4/17/23","4:02:44 PM","50.634822","5.817500","6"
"4/17/23","3:58:17 PM","50.634301","5.802962","97"
"4/17/23","3:51:38 PM","50.662966","5.696777","12"
"4/17/23","3:42:05 PM","50.723136","5.689504","1500"
"4/17/23","3:32:42 PM","52.090788","5.163554","800"
"4/17/23","1:16:43 PM","52.085291","5.167175","8"
"4/17/23","11:58:59 AM","52.079245","4.660731","4"
"4/17/23","11:57:01 AM","52.077762","4.654879","899"
"4/17/23","11:46:53 AM","52.079255","4.660807","4"
"4/17/23","11:42:21 AM","52.075313","4.654591","9"
"4/17/23","11:39:02 AM","52.074170","4.662994","13"
"4/17/23","10:02:49 AM","52.077829","4.678442","16"
"4/17/23","10:01:19 AM","52.076918","4.667837","899"
"4/16/23","7:39:08 PM","52.077843","4.678430","23"
"4/16/23","7:36:05 PM","52.079805","4.670371","1000"
"4/16/23","6:24:13 PM","52.077876","4.678501","10"
"4/16/23","6:24:02 PM","52.076918","4.667837","899"
"4/16/23","5:37:06 PM","52.077950","4.678442","9"
"4/16/23","5:32:10 PM","52.074126","4.665767","38"
"4/16/23","5:25:30 PM","52.069047","4.559213","6"
"4/16/23","5:20:34 PM","52.042859","4.554260","1399"
"4/16/23","5:10:13 PM","51.981240","4.492058","699"
"4/16/23","5:05:58 PM","51.953973","4.433217","1200"
"4/16/23","4:54:59 PM","51.928561","4.443373","6"
"4/16/23","3:21:30 PM","51.928600","4.447749","4"
"4/16/23","2:50:46 PM","51.926094","4.449517","5"
"4/16/23","1:45:38 PM","51.925086","4.453613","4"
"4/16/23","12:07:52 PM","51.928237","4.453839","7"
"4/16/23","11:40:41 AM","51.927924","4.447355","8"
"4/16/23","11:33:56 AM","51.923755","4.452731","600"
"4/16/23","11:25:33 AM","51.927228","4.446052","4"
"4/16/23","11:23:36 AM","51.923127","4.451819","699"
"4/16/23","11:17:20 AM","51.930158","4.432254","800"
"4/16/23","11:14:13 AM","51.927332","4.444640","6"
"4/16/23","11:14:11 AM","51.929994","4.436607","800"
"4/16/23","10:59:50 AM","51.938710","4.461617","7"
"4/16/23","1:18:13 AM","52.077840","4.678482","10"
"4/16/23","1:13:13 AM","52.076918","4.667837","899"
"4/16/23","1:04:47 AM","52.077721","4.678541","21"
"4/16/23","12:50:23 AM","52.079161","4.660800","5"
"4/16/23","12:29:35 AM","52.122633","4.644857","13"
"4/15/23","11:56:48 PM","52.196268","4.713093","10"
"4/15/23","11:02:26 PM","52.111096","4.661711","17"
"4/15/23","11:00:00 PM","52.117841","4.657517","899"
"4/15/23","10:19:47 PM","52.196199","4.386251","4"
"4/15/23","9:50:45 PM","52.203240","4.389789","11"
"4/15/23","9:48:23 PM","52.203052","4.394222","899"
"4/15/23","9:08:43 PM","52.203216","4.389755","11"
"4/15/23","9:00:39 PM","52.202060","4.394064","699"
"4/15/23","8:50:17 PM","52.201782","4.386061","5"
"4/15/23","8:25:40 PM","52.195340","4.387599","9"
"4/15/23","7:25:20 PM","52.196398","4.713012","42"
"4/15/23","7:22:55 PM","52.114067","4.660571","899"
"4/15/23","6:50:19 PM","52.111377","4.661521","8"
"4/15/23","6:32:25 PM","52.122617","4.644697","14"
