"Date","Time","Latitude","Longitude","Accuracy(m)"
"4/21/23","12:07:38 PM","39.729730","-105.006002","2000"
"4/21/23","11:31:41 AM","39.801802","-105.069071","2000"
"4/21/23","11:13:47 AM","39.801802","-105.092524","2000"
"4/21/23","10:25:46 AM","39.801802","-105.069071","2000"
"4/21/23","10:18:41 AM","39.783784","-105.041552","2000"
"4/20/23","10:49:31 AM","39.747748","-105.010024","2000"
"4/19/23","1:56:33 PM","39.729730","-105.006002","2000"
"4/19/23","11:05:13 AM","39.747748","-105.010024","2000"
"4/19/23","10:57:03 AM","39.729730","-105.006002","2000"
"4/19/23","9:29:28 AM","39.747748","-105.010024","2000"
"4/19/23","5:38:58 AM","39.729730","-105.006002","2000"
"4/17/23","10:38:05 AM","39.747748","-105.010024","2000"
"4/17/23","10:28:34 AM","39.729730","-105.006002","2000"
"4/17/23","8:08:18 AM","39.747748","-105.010024","2000"
"4/16/23","12:41:17 AM","39.747748","-104.986590","2000"
"4/15/23","2:41:24 PM","39.747748","-105.010024","2000"
"4/15/23","2:02:58 PM","39.729730","-105.006002","2000"
"4/15/23","10:31:30 AM","39.747748","-105.010024","2000"
"4/15/23","10:21:18 AM","39.729730","-105.029431","2000"
"4/14/23","6:04:02 PM","39.747748","-105.010024","2000"
"4/13/23","3:57:58 PM","39.729730","-105.006002","2000"
"4/13/23","10:58:56 AM","39.747748","-105.010024","2000"
"4/13/23","10:09:53 AM","39.729730","-105.006002","2000"
"4/13/23","9:53:24 AM","39.729730","-105.029431","2000"
"4/12/23","9:36:19 PM","39.729730","-105.006002","2000"
"4/12/23","4:17:32 PM","39.747748","-105.010024","2000"
"4/12/23","2:10:25 PM","39.729730","-105.006002","2000"
"4/12/23","1:58:37 PM","39.747748","-104.986590","2000"
"4/12/23","9:26:51 AM","39.747748","-105.010024","2000"
"4/12/23","9:04:46 AM","39.729730","-105.006002","2000"
"4/11/23","11:54:04 PM","39.747748","-105.010024","2000"
"4/11/23","3:57:17 PM","39.729730","-105.006002","2000"
"4/11/23","11:24:47 AM","39.747748","-104.986590","2000"
"4/10/23","6:28:05 PM","39.729730","-105.006002","2000"
"4/10/23","4:56:45 PM","39.747748","-105.010024","2000"
"4/10/23","2:09:34 PM","39.729730","-105.006002","2000"
"4/10/23","9:26:02 AM","39.747748","-105.010024","2000"
"4/9/23","4:12:11 PM","39.729730","-105.006002","2000"
"4/9/23","3:53:44 PM","39.729730","-105.029431","2000"
"4/9/23","3:32:58 PM","39.729730","-105.006002","2000"
"4/9/23","2:24:03 PM","39.747748","-105.010024","2000"
"4/8/23","5:21:47 PM","39.729730","-105.006002","2000"
"4/8/23","5:11:02 PM","39.729730","-105.029431","2000"
"4/8/23","2:14:34 PM","39.729730","-105.006002","2000"
"4/7/23","7:27:08 PM","39.747748","-105.010024","2000"
"4/7/23","7:23:38 PM","39.729730","-105.006002","2000"
"4/7/23","6:44:55 PM","39.747748","-105.010024","2000"
"4/7/23","6:37:15 PM","39.729730","-105.006002","2000"
"4/7/23","6:33:46 PM","39.747748","-104.986590","2000"
"4/7/23","6:16:13 PM","39.729730","-105.006002","2000"
"4/7/23","4:33:59 PM","39.747748","-105.010024","2000"
"4/7/23","4:07:46 PM","39.729730","-105.006002","2000"
"4/7/23","3:38:52 PM","39.729730","-104.982574","2000"
"4/7/23","2:58:39 PM","39.747748","-104.986590","2000"
"4/6/23","9:40:57 PM","39.747748","-105.010024","2000"
"4/6/23","9:27:13 PM","39.729730","-105.029431","2000"
"4/5/23","2:04:44 PM","39.747748","-105.010024","2000"
""
"Location history, April 22, 2023 - March 1, 2023"
"Created by App Usage on Saturday, April 22, 2023, 12:50 PM"
