Date,Time,Happiness,Activity
3/27/23,12,4,3
3/27/23,17,3,4
3/27/23,21,2,4
3/28/23,12,4,2
3/28/23,17,3,3
3/28/23,21,2,3
3/29/23,12,5,3
3/29/23,17,4,4
3/29/23,21,5,4
3/30/23,12,2,4
3/30/23,17,1,4
3/30/23,21,5,4
3/31/23,12,4,2
3/31/23,17,4,3
3/31/23,21,5,5
4/1/23,12,3,3
4/1/23,17,3,3
4/1/23,21,4,3
4/2/23,12,2,2
4/2/23,17,3,4
4/2/23,21,2,5
4/3/23,12,2,2
4/3/23,17,3,3
4/3/23,21,5,5
4/4/23,12,3,4
4/4/23,17,2,3
4/4/23,21,4,2
4/5/23,12,5,2
4/5/23,17,5,3
4/5/23,21,3,3
4/6/23,12,3,4
4/6/23,17,4,2
4/6/23,21,3,5
4/7/23,12,2,3
4/7/23,17,4,4
4/7/23,21,3,2
4/8/23,12,2,2
4/8/23,17,1,2
4/8/23,21,3,2
4/9/23,12,1,3
4/9/23,17,2,3
4/9/23,21,2,3
4/10/23,12,4,4
4/10/23,17,6,4
4/10/23,21,2,4
4/11/23,12,2,2
4/11/23,17,2,2
4/11/23,21,3,3
4/12/23,12,5,5
4/12/23,17,4,5
4/12/23,21,4,3
4/13/23,12,4,2
4/13/23,17,3,2
4/13/23,21,3,3
4/14/23,12,3,2
4/14/23,17,2,2
4/14/23,21,5,2
4/15/23,12,5,1
4/15/23,17,5,5
4/15/23,21,5,5
4/16/23,12,5,5
4/16/23,17,5,4
4/16/23,21,5,5
