Date,Time,Happiness,Activity
3/29/23,12,N/A,N/A
3/29/23,17,2,4
3/29/23,21,2,5
3/30/23,12,4,4
3/30/23,17,2,4
3/30/23,21,2,4
3/31/23,12,2,4
3/31/23,17,1,5
3/31/23,21,1,5
4/1/23,12,3,3
4/1/23,17,3,3
4/1/23,21,3,3
4/2/23,12,3,3
4/2/23,17,4,4
4/2/23,21,2,3
4/3/23,12,2,2
4/3/23,17,4,4
4/3/23,21,4,4
4/4/23,12,3,4
4/4/23,17,3,4
4/4/23,21,3,3
4/5/23,12,3,2
4/5/23,17,4,4
4/5/23,21,4,4
4/6/23,12,N/A,N/A
4/6/23,17,N/A,N/A
4/6/23,21,N/A,N/A
4/7/23,12,5,3
4/7/23,17,5,2
4/7/23,21,2,2
4/8/23,12,3,2
4/8/23,17,3,3
4/8/23,21,1,5
4/9/23,12,5,1
4/9/23,17,3,2
4/9/23,21,4,3
4/10/23,12,3,3
4/10/23,17,3,3
4/10/23,21,3,4
4/11/23,12,3,3
4/11/23,17,4,4
4/11/23,21,3,3
4/12/23,12,3,1
4/12/23,17,3,3
4/12/23,21,3,2
4/13/23,12,2,2
4/13/23,17,1,2
4/13/23,21,3,3
4/14/23,12,2,2
4/14/23,17,4,2
4/14/23,21,4,3
4/15/23,12,2,2
4/15/23,17,3,3
4/15/23,21,2,2
4/16/23,12,2,2
4/16/23,17,4,4
4/16/23,21,3,3
4/17/23,12,2,2
4/17/23,17,3,3
4/17/23,21,3,4
4/18/23,12,2,2
4/18/23,17,2,3
4/18/23,21,3,3
4/19/23,12,2,2
4/19/23,17,3,4
4/19/23,21,3,2
4/20/23,12,2,2
4/20/23,17,3,3
4/20/23,21,2,3
4/21/23,12,2,2
4/21/23,17,3,4
4/21/23,21,3,3
