App name,Date,Time,Duration,Duration_Seconds
App Usage,4/6/23,10:34:41 AM,0:00:01,1
Messages,4/6/23,10:34:09 AM,0:00:27,27
Screen on (unlocked),4/6/23,10:34:06 AM,0:00:00,0
Screen off,4/6/23,10:34:06 AM,0:00:00,0
Screen off (locked),4/6/23,10:25:28 AM,0:08:38,518
Messages,4/6/23,10:25:02 AM,0:00:24,24
Screen on (unlocked),4/6/23,10:24:59 AM,0:00:00,0
Screen off,4/6/23,10:24:59 AM,0:00:00,0
Screen off (locked),4/6/23,10:14:57 AM,0:10:02,602
Screen on (unlocked),4/6/23,10:14:53 AM,0:00:00,0
Screen off,4/6/23,10:14:53 AM,0:00:00,0
Screen off (locked),4/6/23,10:14:05 AM,0:00:47,47
Messages,4/6/23,10:09:35 AM,0:04:29,269
YouTube,4/6/23,10:09:23 AM,0:00:11,11
Screen on (unlocked),4/6/23,10:09:23 AM,0:00:00,0
Screen off,4/6/23,10:08:52 AM,0:00:31,31
Messages,4/6/23,9:51:47 AM,0:17:05,1025
YouTube,4/6/23,9:49:39 AM,0:02:08,128
Screen on (unlocked),4/6/23,9:49:39 AM,0:00:00,0
Screen off,4/6/23,9:49:39 AM,0:00:00,0
Screen off (locked),4/6/23,9:46:32 AM,0:03:07,187
YouTube,4/6/23,9:40:44 AM,0:05:47,347
Messages,4/6/23,9:39:27 AM,0:00:38,38
YouTube,4/6/23,9:39:21 AM,0:00:06,6
Screen on (unlocked),4/6/23,9:39:21 AM,0:00:00,0
Screen off,4/6/23,9:39:20 AM,0:00:00,0
Screen off (locked),4/6/23,9:39:01 AM,0:00:20,20
Messages,4/6/23,9:23:15 AM,0:15:46,946
YouTube,4/6/23,9:11:00 AM,0:12:14,734
Messages,4/6/23,9:10:36 AM,0:00:25,25
YouTube,4/6/23,9:07:12 AM,0:03:19,199
Gmail,4/6/23,9:07:03 AM,0:00:08,8
Permission controller,4/6/23,9:07:02 AM,0:00:01,1
Messages,4/6/23,9:06:48 AM,0:00:15,15
YouTube,4/6/23,9:06:43 AM,0:00:01,1
Screen on (unlocked),4/6/23,9:06:43 AM,0:00:00,0
Screen off,4/6/23,9:06:43 AM,0:00:00,0
Screen off (locked),4/6/23,9:04:06 AM,0:02:37,157
YouTube,4/6/23,9:01:03 AM,0:03:04,184
Screen on (unlocked),4/6/23,9:00:54 AM,0:00:00,0
Screen off,4/6/23,9:00:54 AM,0:00:00,0
Screen off (locked),4/6/23,8:59:04 AM,0:01:50,110
Messages,4/6/23,8:57:09 AM,0:01:53,113
Messages,4/6/23,8:53:45 AM,0:03:20,200
Keep Notes,4/6/23,8:53:40 AM,0:00:04,4
Messages,4/6/23,8:53:09 AM,0:00:30,30
Keep Notes,4/6/23,8:49:05 AM,0:04:04,244
Keep Notes,4/6/23,8:46:40 AM,0:02:14,134
Keep Notes,4/6/23,8:46:30 AM,0:00:07,7
Gmail,4/6/23,8:46:15 AM,0:00:11,11
App Usage,4/6/23,8:46:11 AM,0:00:02,2
Gmail,4/6/23,8:45:57 AM,0:00:14,14
App Usage,4/6/23,8:45:44 AM,0:00:01,1
App Usage,4/6/23,8:45:27 AM,0:00:13,13
App Usage,4/6/23,8:45:10 AM,0:00:08,8
Gallery,4/6/23,8:45:00 AM,0:00:09,9
App Usage,4/6/23,8:44:43 AM,0:00:18,18
Gallery,4/6/23,8:44:25 AM,0:00:15,15
Screen on (unlocked),4/6/23,8:43:55 AM,0:00:00,0
Screen off,4/6/23,8:43:55 AM,0:00:00,0
Screen off (locked),4/6/23,8:40:36 AM,0:03:19,199
Messages,4/6/23,8:38:12 AM,0:02:22,142
Screen on (unlocked),4/6/23,8:38:08 AM,0:00:00,0
Screen off,4/6/23,8:38:08 AM,0:00:00,0
Screen off (locked),4/6/23,8:30:18 AM,0:07:50,470
Screen on (locked),4/6/23,8:30:12 AM,0:00:06,6
Screen off (locked),4/6/23,8:29:21 AM,0:00:51,51
Screen on (locked),4/6/23,8:29:10 AM,0:00:12,12
Screen off (locked),4/6/23,8:28:39 AM,0:00:31,31
Screen on (locked),4/6/23,8:28:33 AM,0:00:06,6
Maps,4/6/23,8:28:25 AM,0:00:08,8
Messages,4/6/23,8:20:32 AM,0:00:04,4
Messages,4/6/23,8:20:27 AM,0:00:04,4
Screen on (unlocked),4/6/23,8:20:27 AM,0:00:00,0
Maps,4/6/23,8:16:28 AM,0:03:59,239
Android Auto,4/6/23,8:15:19 AM,0:01:09,69
Maps,4/6/23,7:58:07 AM,0:17:13,1033
Android Auto,4/6/23,7:57:55 AM,0:00:12,12
System UI,4/6/23,7:57:53 AM,0:00:02,2
Android Auto,4/6/23,7:57:52 AM,0:00:01,1
Maps,4/6/23,7:57:39 AM,0:00:13,13
Screen on (locked),4/6/23,7:57:39 AM,0:00:00,0
Screen off (locked),4/6/23,7:57:06 AM,0:00:33,33
Screen on (locked),4/6/23,7:57:00 AM,0:00:06,6
Screen off (locked),4/6/23,7:53:05 AM,0:03:55,235
Messages,4/6/23,7:52:02 AM,0:01:03,63
Maps,4/6/23,7:51:55 AM,0:00:02,2
Screen on (unlocked),4/6/23,7:51:54 AM,0:00:00,0
Screen off,4/6/23,7:51:54 AM,0:00:00,0
Screen off (locked),4/6/23,7:50:43 AM,0:01:11,71
Maps,4/6/23,7:42:17 AM,0:08:26,506
Screen on (locked),4/6/23,7:42:17 AM,0:00:00,0
Screen off (locked),4/6/23,7:39:29 AM,0:02:49,169
Maps,4/6/23,7:39:18 AM,0:00:11,11
Screen on (locked),4/6/23,7:39:18 AM,0:00:00,0
Screen off (locked),4/6/23,7:37:12 AM,0:02:06,126
Maps,4/6/23,7:36:47 AM,0:00:24,24
Tile,4/6/23,7:36:23 AM,0:00:23,23
Screen on (unlocked),4/6/23,7:36:17 AM,0:00:00,0
Screen off,4/6/23,7:36:17 AM,0:00:00,0
Screen off (locked),4/6/23,7:31:20 AM,0:04:57,297
Screen on (locked),4/6/23,7:31:18 AM,0:00:02,2
Screen off (locked),4/6/23,7:24:39 AM,0:06:39,399
Screen on (locked),4/6/23,7:24:27 AM,0:00:12,12
Screen off (locked),4/6/23,7:16:39 AM,0:07:48,468
Screen on (unlocked),4/6/23,7:16:31 AM,0:00:08,8
Screen on (locked),4/6/23,7:16:28 AM,0:00:03,3
Screen off (locked),4/6/23,7:13:28 AM,0:03:00,180
Clock,4/6/23,7:13:02 AM,0:00:27,27
Screen on (locked),4/6/23,7:13:02 AM,0:00:00,0
Screen off (locked),4/6/23,7:10:29 AM,0:02:32,152
Clock,4/6/23,7:08:01 AM,0:02:21,141
Screen on (locked),4/6/23,7:08:01 AM,0:00:00,0
Screen off (locked),4/6/23,7:01:46 AM,0:06:15,375
Screen on (locked),4/6/23,7:01:39 AM,0:00:07,7
Screen off (locked),4/6/23,6:55:38 AM,0:06:01,361
Clock,4/6/23,6:55:02 AM,0:00:29,29
Screen on (locked),4/6/23,6:55:02 AM,0:00:00,0
Screen off (locked),4/6/23,6:47:27 AM,0:07:35,455
Clock,4/6/23,6:47:01 AM,0:00:26,26
Screen on (locked),4/6/23,6:47:01 AM,0:00:00,0
Screen off (locked),4/6/23,6:45:30 AM,0:01:31,91
Clock,4/6/23,6:45:04 AM,0:00:26,26
Clock,4/6/23,6:40:02 AM,0:04:56,296
Screen on (locked),4/6/23,6:40:02 AM,0:00:00,0
Screen off (locked),4/6/23,6:35:33 AM,0:04:28,268
Clock,4/6/23,6:35:02 AM,0:00:31,31
Screen on (locked),4/6/23,6:35:02 AM,0:00:00,0
Screen off (locked),4/6/23,6:30:41 AM,0:04:20,260
Clock,4/6/23,6:30:01 AM,0:00:40,40
Screen on (locked),4/6/23,6:30:01 AM,0:00:00,0
Screen off (locked),4/6/23,6:00:29 AM,0:29:32,1772
Clock,4/6/23,6:00:02 AM,0:00:27,27
Screen on (locked),4/6/23,6:00:02 AM,0:00:00,0
Screen off (locked),4/6/23,5:11:01 AM,0:49:01,2941
YouTube,4/6/23,5:09:31 AM,0:01:30,90
Screen on (unlocked),4/6/23,5:09:31 AM,0:00:00,0
Screen off,4/6/23,5:09:31 AM,0:00:00,0
Screen off (locked),4/6/23,5:01:33 AM,0:07:57,477
Screen on (locked),4/6/23,5:01:24 AM,0:00:09,9
Screen off (locked),4/6/23,4:59:19 AM,0:02:06,126
Screen on (locked),4/6/23,4:59:13 AM,0:00:05,5
Screen off,4/6/23,4:47:21 AM,0:11:52,712
YouTube,4/6/23,4:20:14 AM,0:27:07,1627
Google,4/6/23,4:19:37 AM,0:00:37,37
YouTube,4/6/23,3:57:16 AM,0:22:21,1341
YouTube,4/6/23,3:44:02 AM,0:12:43,763
Device boot,4/6/23,3:43:07 AM,0:00:00,0
Device shutdown,4/6/23,3:41:22 AM,0:01:45,105
YouTube,4/6/23,3:41:00 AM,0:00:22,22
Screen on (unlocked),4/6/23,3:41:00 AM,0:00:00,0
Screen off,4/6/23,3:40:59 AM,0:00:01,1
Screen off (locked),4/6/23,3:40:11 AM,0:00:48,48
Screen on (locked),4/6/23,3:40:02 AM,0:00:09,9
Screen off (locked),4/6/23,3:40:00 AM,0:00:01,1
YouTube,4/6/23,3:37:43 AM,0:02:18,138
Device boot,4/6/23,3:37:43 AM,0:00:00,0
Device shutdown,4/6/23,3:33:04 AM,0:04:39,279
YouTube,4/6/23,2:40:48 AM,0:52:16,3136
Screen on (unlocked),4/6/23,2:40:48 AM,0:00:00,0
Screen off,4/6/23,2:40:47 AM,0:00:00,0
Screen off (locked),4/6/23,2:39:39 AM,0:01:09,69
Messages,4/6/23,2:07:04 AM,0:32:34,1954
YouTube,4/6/23,2:07:00 AM,0:00:04,4
Screen on (unlocked),4/6/23,2:07:00 AM,0:00:00,0
Screen off,4/6/23,2:07:00 AM,0:00:00,0
Screen off (locked),4/6/23,2:02:16 AM,0:04:44,284
Messages,4/6/23,1:56:37 AM,0:05:39,339
YouTube,4/6/23,1:50:30 AM,0:06:06,366
Screen on (unlocked),4/6/23,1:50:30 AM,0:00:00,0
Screen off,4/6/23,1:45:53 AM,0:04:37,277
YouTube,4/6/23,12:59:19 AM,0:46:34,2794
Snapchat,4/6/23,12:55:38 AM,0:03:02,182
Messages,4/6/23,12:55:33 AM,0:00:01,1
Screen on (unlocked),4/6/23,12:55:33 AM,0:00:00,0
Screen off,4/6/23,12:55:32 AM,0:00:01,1
Screen off (locked),4/6/23,12:44:11 AM,0:11:22,682
Messages,4/6/23,12:43:39 AM,0:00:31,31
Screen on (unlocked),4/6/23,12:43:30 AM,0:00:00,0
Screen off,4/6/23,12:43:29 AM,0:00:01,1
Screen off (locked),4/6/23,12:00:20 AM,0:43:09,2589
Clock,4/6/23,12:00:02 AM,0:00:18,18
Screen on (locked),4/6/23,12:00:02 AM,0:00:00,0
Screen off (locked),4/5/23,11:42:07 PM,0:17:55,1075
Messages,4/5/23,11:41:07 PM,0:00:56,56
Amazon Shopping,4/5/23,11:40:46 PM,0:00:21,21
Messages,4/5/23,11:40:13 PM,0:00:25,25
Screen on (unlocked),4/5/23,11:40:13 PM,0:00:00,0
Screen off,4/5/23,11:40:13 PM,0:00:00,0
Screen off (locked),4/5/23,11:40:00 PM,0:00:13,13
Messages,4/5/23,11:39:37 PM,0:00:23,23
Screen on (unlocked),4/5/23,11:39:37 PM,0:00:00,0
Screen off,4/5/23,11:39:37 PM,0:00:00,0
Screen off (locked),4/5/23,11:39:04 PM,0:00:33,33
Messages,4/5/23,11:36:59 PM,0:02:05,125
Snapchat,4/5/23,11:35:15 PM,0:01:43,103
Messages,4/5/23,11:32:52 PM,0:02:21,141
Snapchat,4/5/23,11:32:49 PM,0:00:02,2
Snapchat,4/5/23,11:32:04 PM,0:00:44,44
Gmail,4/5/23,11:31:53 PM,0:00:03,3
Messages,4/5/23,11:26:56 PM,0:04:57,297
App Usage,4/5/23,11:26:01 PM,0:00:51,51
Messages,4/5/23,11:17:11 PM,0:00:00,0
Gmail,4/5/23,11:16:47 PM,0:00:24,24
Permission controller,4/5/23,11:16:47 PM,0:00:00,0
Gmail,4/5/23,11:16:35 PM,0:00:11,11
Messages,4/5/23,11:15:35 PM,0:00:57,57
Snapchat,4/5/23,11:15:06 PM,0:00:28,28
Messages,4/5/23,11:13:44 PM,0:00:00,0
Messages,4/5/23,11:12:16 PM,0:01:19,79
Screen on (unlocked),4/5/23,11:12:06 PM,0:00:01,1
Screen off (locked),4/5/23,11:09:28 PM,0:02:38,158
Google,4/5/23,11:09:25 PM,0:00:03,3
Screen on (unlocked),4/5/23,11:09:24 PM,0:00:01,1
Screen off (locked),4/5/23,10:53:11 PM,0:16:13,973
Screen on (unlocked),4/5/23,10:53:05 PM,0:00:01,1
Screen off (locked),4/5/23,10:53:03 PM,0:00:01,1
Call,4/5/23,10:51:31 PM,0:01:33,93
Screen on (unlocked),4/5/23,10:51:30 PM,0:00:01,1
Screen off (locked),4/5/23,10:46:37 PM,0:04:53,293
Google,4/5/23,10:46:34 PM,0:00:03,3
Screen on (unlocked),4/5/23,10:46:34 PM,0:00:01,1
Screen off (locked),4/5/23,10:31:26 PM,0:15:08,908
Screen on (unlocked),4/5/23,10:31:21 PM,0:00:01,1
Screen off (locked),4/5/23,10:29:55 PM,0:01:26,86
Snapchat,4/5/23,10:29:19 PM,0:00:34,34
Screen on (unlocked),4/5/23,10:29:14 PM,0:00:01,1
Screen off (locked),4/5/23,10:29:05 PM,0:00:09,9
Messages,4/5/23,10:28:50 PM,0:00:14,14
Screen on (unlocked),4/5/23,10:28:48 PM,0:00:01,1
Screen off (locked),4/5/23,10:28:28 PM,0:00:20,20
Messages,4/5/23,10:27:35 PM,0:00:51,51
Screen on (unlocked),4/5/23,10:27:31 PM,0:00:01,1
Screen off (locked),4/5/23,10:20:17 PM,0:07:13,433
Messages,4/5/23,10:18:51 PM,0:01:20,80
